"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","RayJ Dennis","Ind","G","23.9","6","1.9","22.3","36.8","2","1","0","0","3","0.333","0.5","0.644","0.8","0.5","0.2","0.3","0","0.3","1.3","1","1.5","9.1","0","0"
"","Josh Christopher","Mia","G","23.2","8","3.5","20.4","35.7","4","0.5","6","0.333","1","0","0.286","0.342","0.8","0.4","0.5","0","0.1","0.5","1.1","1.3","1.6","6.2","0","0"
"","Isaiah Crawford","Sac","F","23.3","4","3.5","11.7","0","2","0.5","2","0.5","1","0","0.333","0.387","0.8","1","0","0","0","0","1.8","0.8","1.8","0","0","0"
"","Jalen Bridges","Pho","F","23.7","5","5","15.6","48.7","2","0.5","0","0","4","0.25","0.375","0.41","0.8","0.6","0","0","0","0.8","1.4","0.8","1.4","0","42.7","123.4"
"","PJ Dozier","Min","G-F","28.3","9","3.9","8.3","24.5","6","0.167","0","0","3","0.667","1","0.621","0.8","0.6","0.6","0.1","0","0.1","1.3","1.3","1.9","6.8","0","0"
"","Ulrich Chomche","Tor","C","19.1","6","3.4","12.3","38.3","2","0.5","3","0.667","0","0","0.667","0.644","0.8","1","0.3","0","0","0.3","1.8","1.2","2.2","7.3","0","0"
"","Trey Alexander","Den","G","21.8","15","4.3","13","5.1","2","1","9","0.222","9","0.222","0.278","0.318","0.8","0.3","0.4","0.1","0.1","0.1","1.1","1.2","1.5","4.3","82.6","113.7"
"","D.J. Carton","Tor","G","24.5","4","8.4","14.4","35","1","1","4","0.25","3","0","0.143","0.202","0.8","1","0.8","0.5","0","1","1.8","1.5","2.5","4.1","42.5","117.6"
"","Joe Ingles","Min","F-G","37.3","12","4.9","10.5","35.7","0","0","4","0.5","5","0.4","0.556","0.556","0.8","0.3","1.1","0.1","0","0.4","1.2","1.9","2.3","5.2","110.4","103.7"
"","James Johnson","Ind","F","38","10","3.2","18.2","30.8","1","0","6","0.667","3","0","0.444","0.424","0.8","0.5","0.4","0","0.2","0.4","1.3","1.2","1.7","6.8","0","0"
"","Spencer Jones","Den","F","23.7","7","2.1","19.7","14.3","0","0","1","1","5","0.2","0.417","0.417","0.7","0.4","0","0.3","0","0.1","1.1","0.7","1.1","0","0","0"
"","Liam Robbins","Mil","C","25.6","13","4.4","14.1","42.2","10","0.5","6","0.333","2","0","0.25","0.363","0.7","0.9","0.2","0.2","0.2","0.5","1.6","0.8","1.8","4.6","78.4","100.4"
"","Tristen Newton","Ind","G","23.8","5","1.6","39.8","13.4","1","1","3","0.333","3","0","0.167","0.233","0.6","0","0.2","0","0","0.2","0.6","0.8","0.8","0","0","0"
"","Maxwell Lewis","Lal","F","22.5","7","4.2","12","25","0","0","6","0.333","0","0","0.333","0.333","0.6","0.3","0.3","0.1","0","0.3","0.9","0.9","1.1","3.6","77","118.1"
"","Stanley Umude","Mil","G","25.8","19","3.2","17.3","9","4","0.5","9","0.222","11","0.182","0.25","0.276","0.6","0.7","0.1","0.2","0.1","0.1","1.4","0.7","1.5","4.3","0","0"
"","Cui Yongxi","Bro","F","21.7","5","2.1","33.7","0","2","0.5","4","0.25","3","0","0.143","0.19","0.6","0.4","0","0","0","0","1","0.6","1","0","0","0"
"","Garrett Temple","Tor","G-F","38.8","17","3.9","13.2","20.6","4","1","8","0.25","7","0.143","0.233","0.328","0.6","0.6","0.6","0.4","0.1","0.2","1.2","1.3","1.9","6.2","0","0"
"","Jacob Toppin","Nyk","F","24.7","16","3","10.7","16.7","0","0","8","0.375","2","0","0.3","0.3","0.4","0.7","0.3","0.1","0","0.1","1.1","0.6","1.3","5.8","0","0"
"","Daishen Nix","Min","G","23","3","4.4","19.4","76.6","2","0.5","0","0","1","0","0","0.266","0.3","1.3","1","0","0","1.3","1.7","1.3","2.7","6.6","44.1","103.1"
"","Malevy Leons","Okc","F","25.4","6","3.5","9.6","31.1","4","0.5","1","0","1","0","0","0.266","0.3","0.5","0.2","0","0","0.2","0.8","0.5","1","3.6","0","0"
"","Keion Brooks Jr.","Nor","F","24.5","1","2.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Patty Mills","Lac","G","36.5","1","7","18.5","0","0","0","0","0","3","0","0","0","0","0","1","1","0","0","0","1","1","0","23.5","111.4"
"","Zyon Pullin","Mem","G","23.9","1","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Emoni Bates","Cle","F","21","4","3.5","15.4","0","0","0","1","0","4","0","0","0","0","0","0.5","0","0","0","0","0.5","0.5","0","0","0"
"","Tristen Newton","Min","G","23.8","1","1.3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Bobi Klintman","Det","F","21.9","3","2.5","11.2","0","0","0","1","0","1","0","0","0","0","0.7","0.3","0","0","0","0.7","0.3","1","0","0","0"
"","Justin Minaya","Por","F","25.9","6","2.9","2.4","0","0","0","1","0","0","0","0","0","0","0.5","0.3","0.2","0","0","0.5","0.3","0.8","0","0","0"
"","Cole Swider","Det","F","25.8","2","6.6","16.2","0","0","0","0","0","5","0","0","0","0","1","0.5","0","0","0","1","0.5","1.5","0","14.9","111.3"
"","Harrison Ingram","San","F","22.2","2","5.3","8.1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","108.3"
"","Riley Minix","San","F","24.4","1","6.8","6.3","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","2","0","2","0","0","115.4"
"","Daniss Jenkins","Det","G","23.5","3","2.7","26.5","20","0","0","0","0","4","0","0","0","0","0","0","0","0","0.3","0","0","0","0","0","0"
"","Mac McClung","Orl","G","26.1","1","4.9","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","2","3","0","0","114.8"

